ID,Location,Catalogue or inventory number or Provenance,Ht (= height),Diam,Plate reference,Description
0,vases from  the,, , , ,"earlier, but still a comparatively long time after their establishment in Lucania (at Metaponto) or in Apulia (at Taranto) early in the last third of the fifth century. Dr. Angela Greco Pontrandolfo, in her important study of some of the earlier "
1,Syracuse,36334,Ht. 42, ,PLATE 1 a ,
2,West Berlin,3296,Ht. 52, , ,
3,Palermo,2198 (old no. 3480), , ,"PLATE 1 b,c ","Contrada Licinella (1967), to which she refers on pp. 49-50 of her article, the bell-krater (20386) which was found together with seven vases by the Thyrsus Painter (20387-90, 20392-3) is not by the Dirce Painter, as she suggests, but is an early work by Asteas (no. 2/23 below). Further, a squat lekythos by the Thyrsus Painter (inv. 48464; woman with phiale and Eros flying to r.), was found in C. Arcioni (1977), "
4,Vatican,21 (inv. 17969). ,Ht. 42, ,PLATE 1 d ,
5,Vienna,986. ,Ht. 37, ,"PLATE 1 e,f ",study of the pattern-work on the vases by the Thyrsus Painter will also reveal a close 
6,Madrid,11026 (L. 388). ,Ht. 31, , ,
7,Syracuse,36332,Ht. 43, ,PLATE 2 a ,Thyrsus Painter before c. 360 B.C. and the finding of his vases in conjunction with 
8,Syracuse,36319,Ht 43-, , ,"Greco Pontrandolfo is almost certainly right in regarding most of the vases by these two painters as imports, before the local fabric had become firmly established, "
9,Agrigento,11431,Ht. 33, ,PLATE 2 c ,"I). They had little influence at the time and there seems to have been almost no subsequent contact between Paestan and Lucanian. With the workshops of Campania, as might be expected, the connection is much closer, and it may well be the case that some Campanian vase-painters "
10,Louvre,249. ,Ht. 30, , ,
11,Voronezh,(ex Dorpat 109). ,Ht. 38, , ,
12,Gela, from the Acropolis. Max. , , , ,the later Paestan vase-painters in the last third of the fourth century. Vases by 
13,Lipari,inv. 168 F,Ht. 37, , ,
14,Copenhagen, N.M. 9183. ,Ht. 35, ,PLATE2a,"except for the Danaid Painter, whose work has a close stylistic connection with Paestan.17 Another group of Campanian vases which reflect a strong Paestan influence will 15E.g. in C. Gaudo (1970), T. 124 (pelike 24108 and amphora 24110 by the Thyrsus Painter; "
15,Los Angeles, Dec, , , ,
16,Naples,2097 (inv. 81465). ,Ht. 37, , ,
17,Once Deepdene, Hope coll. 263. ,Ht. 38, , ,Supplement III numbers given in brackets after the inventory number): 
18,Mainz, RGZM 0.13000. Max. , , , ,
19,Rennes,895.1.67. Max. , , , ,
20,Naples,265 (inv. 86405 = Heyd. 47), , , ,
21,Naples,2074 (inv. 81437). ,Ht. 33, ,"PLATE 3 a, b ",
22,Naples, private coll. (1) 508. ,Ht. 37, , ,"Fuscillo [LCS, pp. 477-8, nos. 4/260, 263-4). "
23,Melbourne, Graham Geddes coll. C 1, , , ,"Two vases by his hand have been found at Paestum: lekanis 5198 [LCS, p. 432, no. 3/522) and lebes "
24,Odessa,23092. ,Ht. 35, , ,
25,Paestum, from S. Venera (11 May 1976). , ,Diam. c. 2,PLATE 3e. ,"(LCS, p. 334, no. 779) provides an excellent example: the seated half-draped figure of Dionysos is very Paestan-looking, with his ivy-wreath, and the dot-stripe border "
26,Rome, private coll. ,Ht. 22, , ,but the rock on which he sits is more in the Campanian manner. This influence is 
27,Once Los Angeles Market, Summa Galleries,Ht. 32, , ,
28,San Simeon,5426 (SSW 9847). ,Ht. 22, , ,"2/780, pi. 130,9) in view of the close similarity of its pattern-work to that on the "
29,Louvre,517. ,Ht. 35, , ,"at Tenri, Japan.19 The framing palmettes are not unlike the typical Paestan variety, but have a floral above the central spiral. The figure of the seated youth (or Dionysos) on the Tenri vase is extremely Paestan-looking, and he sits upon a white tendril, but the treatment of his long hair as a solid mass (as also on LCS, Suppl. Ill, "
30,Tirana, Arch. Mus.,Ht. 51, , ,conform to the Paestan type. Paestan influence is very clearly to be seen in the work of the Ascoli Satriano 
